reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments
11,Unnamed tributary to Wichcika Creek,57690_us,00000PARS,0,11,5.7,5.3,5.3,7.9,3,3.8,8.5,5.642857142857143,metre tape,4.6,4,4.5,7.5,2.2,2.6,7.5,4.700000000000001,metre tape,0.4,0.65,0.55,0.4,0.6,0.55,0.6,0.5357142857142858,metre stick,0.4,0.4,,,0.4,metre stick,4,8,11,,0.07666666666666667,clinometer,moderate,,11,recording meter,297,recording meter,8.699999999999998,pH meter (general),Clear,moderate,sub-dominant,sub-dominant,sub-dominant,sub-dominant,dominant,sub-dominant,none,1-20%,abundant,evenly distributed,mosses,undercut,fines,boulders,coniferous forest,mature forest,sloping,boulders,fines,mixed forest,mature forest,cobbles,boulders,90,20,step-pool,sinuous,Partially Coupled,frequently confined,falls,1.4,0,metre stick,10,554477,6046229,gps,Good habitat. Surveyed upstream for 650 m.  Large stream with many deep pools suitable for overwintering and rearing.  Multiple rock chutes up to 1 m high in surveyed area with 1.4 m falls at top end of ste.  Rainbow trout (120 mm) observd approximately 60 m upstream of culvert.  Some gravels present suitable for spawning present.  Falls only potentially passable for adfluvial bull trout and migration to this area seems unlikely given plateau topography and wetland character present upstream (based on google earth review).
12,Unnamed tributary to Wichcika Creek,57690_ds,00000PARS,0,12,4.3,4.3,2.8,5.5,,,,4.225,metre tape,3.2,4.3,2.8,4.5,,,,3.7,metre tape,0.3,0.3,0.3,,,,,0.3,metre stick,0.4,0.4,0.4,,0.4000000000000001,metre stick,2,2,,,0.02,clinometer,moderate,,11,recording meter,297,recording meter,8.699999999999998,pH meter (general),Clear,moderate,sub-dominant,trace,trace,dominant,trace,sub-dominant,none,21-40%,few,evenly distributed,mosses,undercut,cobbles,gravels,coniferous forest,mature forest,sloping,gravels,cobbles,mixed forest,mature forest,cobbles,gravels,50,12,riffle-pool,sinuous,Partially Coupled,occasionally confined,,,,,,,,,Moderate habitat value.  Surveyed approximately 260 m downstream of culvert to confluence with Wichcika Creek.  Fairly uncomplex habitat with very occasional shallow pools.  Large woody debris infrequent.  Some patches of gravels present suitable for spawning. No barriers present.
13,Unnamed tributary to Parsnip River,125000_us,00000PARS,0,13,4.3,4.7,4.4,4.9,5.5,2.6,,4.4,metre tape,4.1,2.4,2.9,4.3,4.2,2.2,,3.35,metre tape,0.6,0.4,0.3,0.3,0.3,,,0.38,metre stick,0.35,0.35,0.4,,0.3666666666666667,metre stick,4,3,5,,0.04,clinometer,moderate,,10,recording meter,39,recording meter,7.599999999999999,pH meter (general),Clear,moderate,sub-dominant,sub-dominant,none,dominant,trace,sub-dominant,none,41-70%,few,evenly distributed,mosses,undercut,fines,,shrubs,shrub,sloping,fines,,coniferous forest,mature forest,gravels,fines,,5,cascade-pool,sinuous,Decoupled,occasionally confined,beaver dam,0.7,0,metre stick,10,577830,6038053,gps,Good habitat.  Surveyed upstream continuosly for 350 m to beaver influenced wetland area where walking became difficult.  Then stream was visited again upstream at 1.6 km upstream from crossing then again at approximately 2.5 km upstream of crossing.  Undercut banks provide areas of deep cover ad Large woody debris is scattered througout. Overhanging vegetationalso provides cover througout.  Pools observed were somewhat shallow but were preseetevery 20 - 30 m or so.  Minnowtrapping conducted upstream and downstream of crossing.  Electrofishing conducted downstream of the crossing.  No fish captured upstream of the culvert. First beaver dam located approximately 330m upstream of the culvert.  0.2m long feature
14,Unnamed tributary to Parsnip River,125000_ds,00000PARS,0,14,4.8,4,4.7,,,,,4.5,metre tape,3.3,4,4.2,,,,,3.8333333333333335,metre tape,,,,,,,,,,0.9,0.3,0.9,,0.7000000000000001,metre stick,1,2,0.5,,0.011666666666666667,clinometer,moderate,,10,recording meter,39,recording meter,7.599999999999999,pH meter (general),Clear,moderate,sub-dominant,sub-dominant,none,dominant,trace,sub-dominant,none,1-20%,few,evenly distributed,mosses,undercut,fines,,shrubs,shrub,undercut,fines,,wetland,shrub,gravels,fines,,5,riffle-pool,sinuous,Decoupled,unconfined,beaver dam,0.7,1,metre stick,10,577330,6038336,gps,Moderate value habitat.  Surveyed dowstream for 325 m.  Beaver influencced wetland/stream complex below crossing.  Deep glide habitat throughout (90 cm deep at time of survey).  Downstream of culvert approximately 60 m is an approximately 2 m high breached historic beaver dam structure.  There are likely many more beaver dams downstream between the end of the survey and the Parsnip River based on google earth imagery and gradient.  Minnow trappping and electroishing conducted with RB and sculpin captured. 0.5m long feature
15,Unnamed tributary to Missinka River,125128_us,00000PARS,0,15,5,4,25,,,,,11.333333333333334,ground estimate,5,4,25,,,,,11.333333333333334,ground estimate,,,,,,,,,,,,,,,,1,0.5,,,0.007499999999999998,ground estimate,moderate,,14,recording meter,168,recording meter,7.8,pH meter (general),Clear,moderate,trace,trace,none,trace,dominant,sub-dominant,sub-dominant,1-20%,none,,vascular plants,sloping,fines,,wetland,not applicable,sloping,fines,,wetland,not applicable,fines,fines,,,riffle-pool,sinuous,Decoupled,unconfined,beaver dam,1,0,ground estimate,10,583540,6051851,gps,Beaver influenced extensive wetland area located upstream for as far as visible from 50 m upstream of culvert.  Does not appear to be deep although depth unconfirmed. 0.2m long feature.
16,Unnamed tributary to Missinka River,125128_ds,00000PARS,0,16,1.4,1.5,1.7,4,3,1.9,1.3,2.1142857142857143,ground estimate,1.2,1.3,1.5,4,3,1.7,1.1,1.9714285714285715,ground estimate,,,,,,,,,,0.3,0.2,0.3,,0.26666666666666666,metre stick,5,6,5,,0.05333333333333333,ground estimate,moderate,,14,recording meter,168,recording meter,7.8,pH meter (general),Clear,moderate,sub-dominant,trace,sub-dominant,dominant,trace,sub-dominant,none,21-40%,few,evenly distributed,mosses,undercut,fines,,coniferous forest,mature forest,sloping,large rock/bedrock,,coniferous forest,mature forest,cobbles,large rock/bedrock,,,step-pool,sinuous,Partially Coupled,frequently confined,cascade or Chute,5,10,ground estimate,10,583422,6051814,gps,Moderate value habitat.  Surveyed for approximately 75 downstream of site. 5 m high cascde (10 m long at 50% gradient) is located approximately 5 m below the culvert.  Below this is a rock chute for 12 m (30%). Culvert is potentially accessible only to adult adfluvial bull trout however it is unlikely that they would utilize this stream due to the wetland type habitat present upstream of the culvert.
17,Unnamed tributary to Table River,125231_ds,00000PARS,0,17,2.8,3.3,3.8,2.7,3,,,3.12,metre stick,2.2,3.3,2.5,1.9,2.6,,,2.5,metre stick,0.3,0.2,0.25,0.4,0.6,,,0.35,metre stick,0.3,0.2,0.3,,0.26666666666666666,metre stick,9,3.5,3,,0.051666666666666666,clinometer,moderate,,,,,,,,Clear,moderate,sub-dominant,trace,none,sub-dominant,trace,dominant,none,41-70%,few,evenly distributed,mosses,sloping,fines,,shrubs,shrub,undercut,fines,,mixed forest,mature forest,gravels,cobbles,,5,cascade-pool,sinuous,Decoupled,unconfined,,,,,,,,,Good habitat.  Surveyed downstream of crossing for 330m to floodplain of Table River.  Abundant gravels thoroughout.  Multiple side channels. Some deeper pools.  No barriers.  Railway culvert modelled as 16603641 is located downstream and is passable.
18,Unnamed tributary to Table River,125231_us,00000PARS,0,18,4.1,4.3,3.7,3.4,4.5,,,4,metre stick,4.1,2.8,3.1,3.2,4.2,,,3.4799999999999995,metre stick,0.45,0.3,0.3,0.3,0.5,,,0.37,metre stick,0.4,0.3,,,0.35,metre stick,5,9,5,,0.06333333333333332,clinometer,moderate,,9,recording meter,43,recording meter,8,pH meter (general),Clear,moderate,sub-dominant,sub-dominant,sub-dominant,sub-dominant,dominant,sub-dominant,none,21-40%,few,evenly distributed,mosses,undercut,fines,,coniferous forest,mature forest,undercut,boulders,,shrubs,shrub,gravels,cobbles,80,20,step-pool,sinuous,Partially Coupled,frequently confined,,,,,,,,,"Good habitat.  Surveyed for 600m to new bridge (modelled crossing 16603641).  Some deep pools and bounlders, udercut banks, gravels throughout.  Abundant large wody debris throughout.  Some debris steps from 30 - 70 cms high.  No barriers.  Good candidate for rehabilitation."
19,Unnamed tributary to Parsnip River,125247_us,00000PARS,0,19,3,3.1,4.2,3.9,4.9,4.2,3.3,3.8,metre stick,2.3,2.9,4.2,3.5,4,4,3.3,3.457142857142857,metre stick,0.45,0.6,0.4,0.4,0.4,,,0.45,metre stick,0.3,0.2,0.3,0.5,0.3,metre stick,3,3,3,3,0.03,clinometer,moderate,,11,recording meter,163,recording meter,8.199999999999998,pH meter (general),Clear,abundant,sub-dominant,sub-dominant,trace,sub-dominant,dominant,sub-dominant,none,21-40%,few,evenly distributed,mosses,undercut,fines,,shrubs,shrub,undercut,fines,,coniferous forest,mature forest,gravels,fines,,5,riffle-pool,sinuous,Partially Coupled,occasionally confined,beaver dam,1,1,ground estimate,10,542656,6063446,gps,"Good habitat.  Surveyed to 700 m upstream where beaver dammed area begins. Abundant undercut banks, overhanging vegetation, large woody debris and gravels. Gradinets decreasing at top end of the site due to historic beaver dam.  Railway culvert (modelled crossing 16603287) is located approximately 200 m upstream and is barrier (very long, unembedded and 3%)."
20,Unnamed tributary to Parsnip River,125247_ds,00000PARS,0,20,2.8,3.1,4.1,2.7,4.2,4.1,3.8,3.542857142857143,metre stick,1.9,2.5,2.4,2.8,3.8,3.2,3.6,2.885714285714286,metre stick,0.4,0.5,0.3,0.4,0.8,0.3,,0.45,metre stick,0.4,0.3,0.5,0.7,0.475,metre stick,2,2,3,3,0.025,clinometer,moderate,,10,recording meter,,,8,pH meter (general),Clear,abundant,dominant,trace,none,dominant,trace,sub-dominant,none,41-70%,few,clumped,none,undercut,fines,,mixed forest,mature forest,overhanging bank,fines,,shrubs,shrub,gravels,fines,30,5,riffle-pool,sinuous,Partially Coupled,occasionally confined,,,,,,,,,Good habitat.  Surveyed 230 m downstream to confluence of Parsnip River.  Wanders through floodplain of Parsnip River.  No barriers.
21,Unnamed tributary to Table River,197485_ds,00000PARS,0,21,4.4,4.3,5.3,4.1,3.6,3.7,,4.2333333333333325,metre stick,4.4,3.4,4.9,3.3,3.6,3.4,,3.8333333333333335,metre stick,0.4,0.3,0.4,0.4,,,,0.375,metre stick,0.3,,,,0.3,metre stick,4,2,3,1,0.025,clinometer,moderate,,,,,,,,Clear,moderate,sub-dominant,sub-dominant,none,dominant,sub-dominant,sub-dominant,none,21-40%,few,evenly distributed,none,undercut,gravels,,shrubs,shrub,sloping,fines,,wetland,shrub,gravels,fines,,5,riffle-pool,sinuous,Partially Coupled,occasionally confined,beaver dam,1.4,1,metre stick,10,547419,6063849,gps,"Good habitat.  Surveyed downstream for 300 m to floodplain of Table River where walking became difficult due to beaver dams.  Abundant gravels throughout.  Some deep pools, undercut banks and large woody debris present. 0.8m long feature."
22,Unnamed tributary to Table River,197485_us,00000PARS,0,22,3.8,4.8,3.3,3.4,3.6,,,3.78,metre stick,3.8,4.5,2.5,3.4,3.4,,,3.5200000000000005,metre stick,0.3,0.25,0.3,0.3,,,,0.28750000000000003,metre stick,0.2,0.2,,,0.2,metre stick,2,5.5,3,,0.035,clinometer,moderate,,9,recording meter,61,recording meter,7.9,pH meter (general),Clear,abundant,sub-dominant,dominant,trace,sub-dominant,sub-dominant,sub-dominant,none,41-70%,abundant,evenly distributed,mosses,undercut,fines,,coniferous forest,mature forest,sloping,fines,,shrubs,shrub,gravels,cobbles,,10,riffle-pool,sinuous,Decoupled,occasionally confined,,,,,,,,,"Good habitat.  Surveyed upstream for   440 m.  Culvert is under railway and there are recently installed bridges downsteam and upstream.  20 cm long bull trout observed approximately 340 m upstream of the culvert at (10 U 547058 6064136).  Redd (40 - 50 cm diameter) observed as well as young of year salmonids.  Abundant gravels, large woody debris, undercut banks, overhanging vegetation and small woody debris.  Stable stream with good flow."
23,Unnamed tributary to Parsnip River,125253_ds,00000PARS,0,23,4.2,3.3,3.3,5.2,,,,4,metre stick,3.7,2.7,3.1,4.5,,,,3.5,metre stick,0.5,,,,,,,0.5,metre stick,0.2,0.3,,,0.25,metre stick,0.1,3,,,0.0155,clinometer,moderate,,12,recording meter,174,recording meter,8.3,pH meter (general),Clear,moderate,sub-dominant,trace,none,dominant,trace,sub-dominant,none,21-40%,few,evenly distributed,none,undercut,fines,,shrubs,shrub,undercut,fines,,shrubs,shrub,fines,gravels,,1,riffle-pool,sinuous,Partially Coupled,occasionally confined,,,,,,,,,Good habitat.  Surveyed downstream for 250 m to beaver dammed area on floodplain of Parsnip River.  Railway crossing culvert 16603267 is technically a barrier and located downstream of the crossing at the downstream end of the site.
24,Unnamed tributary to Parsnip River,125253_us,00000PARS,0,24,3.5,4.5,4.4,3.4,4.5,4.7,,4.166666666666667,metre stick,2.5,3.9,2.6,2.8,3.4,4.7,,3.316666666666667,metre stick,0.4,0.7,0.5,0.4,0.4,0.3,0.5,0.45714285714285713,metre stick,0.25,0.3,0.4,,0.3166666666666667,metre stick,3.5,2.5,3,,0.03,clinometer,moderate,,12,recording meter,174,recording meter,8.3,pH meter (general),Clear,moderate,sub-dominant,sub-dominant,none,sub-dominant,dominant,sub-dominant,none,21-40%,few,evenly distributed,none,undercut,fines,,shrubs,shrub,undercut,fines,,coniferous forest,mature forest,gravels,fines,,3,riffle-pool,sinuous,Partially Coupled,occasionally confined,,,,,,,,,"Good habitat.  Surveyed upstream for 800 m.  Stable channel with large woody debris throughout.  Overhanging vegetation and undercut banks present for cover.  Although, there were some patches of unembeded gravels suitable for spawning observed the majority of substrate was embedded.  Historic beaver impounded area at top of site (10 U 538462 6064926) but no barrier or obstacles to migration observed."
25,Unnamed tributary to Parsnip River,125345_us,00000PARS,0,25,4.4,5.3,5.1,4,5,4.5,,4.716666666666666,metre stick,4,5.3,1.8,2.8,5,4.5,,3.9,metre stick,0.5,0.3,0.5,0.5,0.45,,,0.45,metre stick,0.5,0.3,,,0.4,metre stick,5,2.5,2,,0.03166666666666666,clinometer,moderate,,10,recording meter,180,recording meter,8.3,pH meter (general),Clear,moderate,sub-dominant,sub-dominant,none,sub-dominant,dominant,sub-dominant,none,1-20%,few,evenly distributed,none,undercut,fines,,shrubs,shrub,sloping,gravels,,coniferous forest,mature forest,gravels,fines,,,riffle-pool,sinuous,Decoupled,occasionally confined,beaver dam,0.6,1,metre stick,10,522713,6083744,gps,Good habitat.  Surveyed upstream for 680 m.  Culvert is under the railway but is also just 10 m upstream of crossing 125345 that extends under the Chuchinka-Colbourne FSR.  Abundant gravels throughout.  Deep pools suitable for overwintering.  No barriers.  Small beaver dam located 180 m upstream of crossing.  0.6m long beaver dam (input allowed to m accuracy only).
